Exp,Plot,NumSp,SpNum,FgNum,Fgset,C3,C4,Forb,Legume,Woody,Achmi,Agrsm,AmoPet,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,MonSol,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Sornu
120,296,1,1,1,W,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,299,16,17,5,34FLW,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
120,300,2,2,2,4L,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
120,301,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
120,302,4,5,3,FLW,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
120,303,8,10,3,3FL,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
120,304,2,2,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,307,8,9,4,4FLW,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0
120,308,1,1,1,F,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,311,2,2,2,34,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,313,8,9,4,3FLW,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
120,318,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
120,322,2,2,2,4W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
120,324,2,2,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
120,325,4,5,4,34FL,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
120,328,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
120,329,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
120,330,2,2,2,4F,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,331,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
120,333,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,334,2,2,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
120,335,2,3,2,3L,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,336,16,17,5,34FLW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
120,338,1,2,1,F,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,339,16,17,5,34FLW,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
120,342,2,3,2,FL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
