Plot,Species5,Species
7,Luppe,Lupinus perennis
7,Petpu,Petalostemum purpureum
7,Poapr,Poa pratensis
7,Queel,Quercus ellipsoidalis
7,Quema,Quercus macrocarpa
8,Achmi,Achillea millefolium(lanulosa)
8,Amoca,Amorpha canescens
8,Asctu,Asclepias tuberosa
8,Liaas,Liatris aspera
8,Luppe,Lupinus perennis
8,Monfi,Monarda fistulosa
8,Petpu,Petalostemum purpureum
8,Solri,Solidago rigida
8,Vicvi,Vicia villosa
9,Achmi,Achillea millefolium(lanulosa)
9,Agrsm,Agropyron smithii
9,Amoca,Amorpha canescens
9,Andge,Andropogon gerardi
9,Asctu,Asclepias tuberosa
9,Elyca,Elymus canadensis
9,Lesca,Lespedeza capitata
9,Liaas,Liatris aspera
9,Luppe,Lupinus perennis
9,Monfi,Monarda fistulosa
9,Panvi,Panicum virgatum
9,Petpu,Petalostemum purpureum
9,Poapr,Poa pratensis
9,Quema,Quercus macrocarpa
9,Schsc,Schizachyrium scoparium
9,Solri,Solidago rigida
9,Sornu,Sorghastrum nutans
10,Achmi,Achillea millefolium(lanulosa)
10,Agrsm,Agropyron smithii
10,Amoca,Amorpha canescens
10,Andge,Andropogon gerardi
10,Asctu,Asclepias tuberosa
10,Baple,Baptisia leucantha
10,Boucu,Bouteloua curtipendula
10,Bougr,Bouteloua gracilis
10,Bucda,Buchloe dactyloides
10,Calca,Calamagrostis canadensis
10,Corpa,Coreopsis palmata
10,Elyca,Elymus canadensis
10,Koecr,Koeleria cristata
10,Leeor,Leersia oryzoides
10,Lesca,Lespedeza capitata
10,Liaas,Liatris aspera
10,Luppe,Lupinus perennis
10,Monfi,Monarda fistulosa
10,Panvi,Panicum virgatum
10,Petca,Petalostemum candidum
10,Petpu,Petalostemum purpureum
10,Petvi,Petalostemum villosum
10,Poapr,Poa pratensis
10,Queel,Quercus ellipsoidalis
10,Quema,Quercus macrocarpa
10,Rudse,Rudbeckia serotina
10,Schsc,Schizachyrium scoparium
10,Solne,Solidago nemoralis
10,Solri,Solidago rigida
10,Sornu,Sorghastrum nutans
10,Spocr,Sporobolus cryptandrus
10,Stisp,Stipa spartea
10,Vicvi,Vicia villosa
10,Zizau,Zizia aurea
11,Achmi,Achillea millefolium(lanulosa)
12,Achmi,Achillea millefolium(lanulosa)
12,Koecr,Koeleria cristata
12,Luppe,Lupinus perennis
12,Monfi,Monarda fistulosa
12,Petca,Petalostemum candidum
12,Petvi,Petalostemum villosum
12,Poapr,Poa pratensis
12,Schsc,Schizachyrium scoparium
12,Solri,Solidago rigida
12,Sornu,Sorghastrum nutans
13,Achmi,Achillea millefolium(lanulosa)
13,Amoca,Amorpha canescens
13,Liaas,Liatris aspera
13,Petpu,Petalostemum purpureum
14,Asctu,Asclepias tuberosa
14,Liaas,Liatris aspera
15,Agrsm,Agropyron smithii
15,Elyca,Elymus canadensis
15,Monfi,Monarda fistulosa
15,Petca,Petalostemum candidum
15,Petpu,Petalostemum purpureum
15,Petvi,Petalostemum villosum
15,Poapr,Poa pratensis
15,Queel,Quercus ellipsoidalis
15,Quema,Quercus macrocarpa
15,Solri,Solidago rigida
16,Asctu,Asclepias tuberosa
17,Agrre,Agropyron repens
17,Agrsm,Agropyron smithii
17,Andge,Andropogon gerardi
17,Boucu,Bouteloua curtipendula
17,Bougr,Bouteloua gracilis
17,Bucda,Buchloe dactyloides
17,Calca,Calamagrostis canadensis
17,Elyca,Elymus canadensis
17,Koecr,Koeleria cristata
17,Leeor,Leersia oryzoides
17,Panvi,Panicum virgatum
17,Poapr,Poa pratensis
17,Schsc,Schizachyrium scoparium
17,Sornu,Sorghastrum nutans
17,Spocr,Sporobolus cryptandrus
18,Achmi,Achillea millefolium(lanulosa)
18,Agrsm,Agropyron smithii
18,Amoca,Amorpha canescens
18,Andge,Andropogon gerardi
18,Asctu,Asclepias tuberosa
18,Baple,Baptisia leucantha
18,Boucu,Bouteloua curtipendula
18,Bougr,Bouteloua gracilis
18,Bucda,Buchloe dactyloides
18,Calca,Calamagrostis canadensis
18,Corpa,Coreopsis palmata
18,Elyca,Elymus canadensis
18,Koecr,Koeleria cristata
18,Leeor,Leersia oryzoides
18,Lesca,Lespedeza capitata
18,Liaas,Liatris aspera
18,Luppe,Lupinus perennis
18,Monfi,Monarda fistulosa
18,Panvi,Panicum virgatum
18,Petca,Petalostemum candidum
18,Petpu,Petalostemum purpureum
18,Petvi,Petalostemum villosum
18,Poapr,Poa pratensis
18,Queel,Quercus ellipsoidalis
18,Quema,Quercus macrocarpa
18,Rudse,Rudbeckia serotina
18,Schsc,Schizachyrium scoparium
18,Solne,Solidago nemoralis
18,Solri,Solidago rigida
18,Sornu,Sorghastrum nutans
18,Spocr,Sporobolus cryptandrus
18,Stisp,Stipa spartea
18,Vicvi,Vicia villosa
18,Zizau,Zizia aurea
19,Agrre,Agropyron repens
19,Agrsm,Agropyron smithii
19,Andge,Andropogon gerardi
19,Boucu,Bouteloua curtipendula
19,Bougr,Bouteloua gracilis
19,Bucda,Buchloe dactyloides
19,Calca,Calamagrostis canadensis
19,Elyca,Elymus canadensis
19,Koecr,Koeleria cristata
19,Leeor,Leersia oryzoides
19,Panvi,Panicum virgatum
19,Poapr,Poa pratensis
19,Schsc,Schizachyrium scoparium
19,Sornu,Sorghastrum nutans
19,Spocr,Sporobolus cryptandrus
20,Amoca,Amorpha canescens
21,Achmi,Achillea millefolium(lanulosa)
21,Agrsm,Agropyron smithii
21,Amoca,Amorpha canescens
21,Andge,Andropogon gerardi
21,Asctu,Asclepias tuberosa
21,Astca,Astragalus canadensis
21,Baple,Baptisia leucantha
21,Boucu,Bouteloua curtipendula
21,Bougr,Bouteloua gracilis
21,Broin,Bromus inermis
21,Bucda,Buchloe dactyloides
21,Calca,Calamagrostis canadensis
21,Corpa,Coreopsis palmata
21,Elyca,Elymus canadensis
21,Koecr,Koeleria cristata
21,Leeor,Leersia oryzoides
21,Lesca,Lespedeza capitata
21,Liaas,Liatris aspera
21,Luppe,Lupinus perennis
21,Monfi,Monarda fistulosa
21,Panvi,Panicum virgatum
21,Petca,Petalostemum candidum
21,Petpu,Petalostemum purpureum
21,Petvi,Petalostemum villosum
21,Poapr,Poa pratensis
21,Rudse,Rudbeckia serotina
21,Schsc,Schizachyrium scoparium
21,Solne,Solidago nemoralis
21,Solri,Solidago rigida
21,Sornu,Sorghastrum nutans
21,Spocr,Sporobolus cryptandrus
21,Stisp,Stipa spartea
21,Vicvi,Vicia villosa
21,Zizau,Zizia aurea
22,Agrsm,Agropyron smithii
22,Asctu,Asclepias tuberosa
22,Elyca,Elymus canadensis
22,Koecr,Koeleria cristata
22,Liaas,Liatris aspera
22,Monfi,Monarda fistulosa
22,Petca,Petalostemum candidum
22,Petvi,Petalostemum villosum
22,Quema,Quercus macrocarpa
22,Solri,Solidago rigida
23,Agrre,Agropyron repens
23,Agrsm,Agropyron smithii
23,Andge,Andropogon gerardi
23,Boucu,Bouteloua curtipendula
23,Bougr,Bouteloua gracilis
23,Bucda,Buchloe dactyloides
23,Calca,Calamagrostis canadensis
23,Elyca,Elymus canadensis
23,Koecr,Koeleria cristata
23,Leeor,Leersia oryzoides
23,Panvi,Panicum virgatum
23,Poapr,Poa pratensis
23,Schsc,Schizachyrium scoparium
23,Sornu,Sorghastrum nutans
23,Spocr,Sporobolus cryptandrus
24,Asctu,Asclepias tuberosa
24,Elyca,Elymus canadensis
24,Panvi,Panicum virgatum
24,Schsc,Schizachyrium scoparium
25,Broin,Bromus inermis
25,Trihy,Trifolium hybridum
26,Agrsm,Agropyron smithii
26,Elyca,Elymus canadensis
26,Petpu,Petalostemum purpureum
26,Sornu,Sorghastrum nutans
27,Achmi,Achillea millefolium(lanulosa)
27,Agrsm,Agropyron smithii
27,Amoca,Amorpha canescens
27,Asctu,Asclepias tuberosa
27,Koecr,Koeleria cristata
27,Lesca,Lespedeza capitata
27,Liaas,Liatris aspera
27,Luppe,Lupinus perennis
27,Monfi,Monarda fistulosa
27,Panvi,Panicum virgatum
27,Petpu,Petalostemum purpureum
27,Poapr,Poa pratensis
27,Queel,Quercus ellipsoidalis
27,Quema,Quercus macrocarpa
27,Schsc,Schizachyrium scoparium
27,Solri,Solidago rigida
27,Sornu,Sorghastrum nutans
28,Lesca,Lespedeza capitata
28,Petpu,Petalostemum purpureum
28,Queel,Quercus ellipsoidalis
28,Quema,Quercus macrocarpa
29,Lesca,Lespedeza capitata
30,Achmi,Achillea millefolium(lanulosa)
30,Agrsm,Agropyron smithii
30,Amoca,Amorpha canescens
30,Andge,Andropogon gerardi
30,Asctu,Asclepias tuberosa
30,Elyca,Elymus canadensis
30,Koecr,Koeleria cristata
30,Liaas,Liatris aspera
30,Luppe,Lupinus perennis
30,Monfi,Monarda fistulosa
30,Panvi,Panicum virgatum
30,Poapr,Poa pratensis
30,Queel,Quercus ellipsoidalis
30,Quema,Quercus macrocarpa
30,Schsc,Schizachyrium scoparium
30,Solri,Solidago rigida
30,Sornu,Sorghastrum nutans
31,Schsc,Schizachyrium scoparium
32,Andge,Andropogon gerardi
32,Queel,Quercus ellipsoidalis
33,Agrsm,Agropyron smithii
33,Andge,Andropogon gerardi
33,Liaas,Liatris aspera
33,Petca,Petalostemum candidum
33,Petvi,Petalostemum villosum
34,Achmi,Achillea millefolium(lanulosa)
34,Agrsm,Agropyron smithii
34,Amoca,Amorpha canescens
34,Andge,Andropogon gerardi
34,Asctu,Asclepias tuberosa
34,Elyca,Elymus canadensis
34,Koecr,Koeleria cristata
34,Luppe,Lupinus perennis
34,Monfi,Monarda fistulosa
34,Panvi,Panicum virgatum
34,Petpu,Petalostemum purpureum
34,Poapr,Poa pratensis
34,Queel,Quercus ellipsoidalis
34,Quema,Quercus macrocarpa
34,Schsc,Schizachyrium scoparium
34,Solri,Solidago rigida
34,Sornu,Sorghastrum nutans
35,Agrsm,Agropyron smithii
35,Amoca,Amorpha canescens
35,Andge,Andropogon gerardi
35,Asctu,Asclepias tuberosa
35,Elyca,Elymus canadensis
35,Koecr,Koeleria cristata
35,Lesca,Lespedeza capitata
35,Liaas,Liatris aspera
35,Luppe,Lupinus perennis
35,Monfi,Monarda fistulosa
35,Panvi,Panicum virgatum
35,Petpu,Petalostemum purpureum
35,Queel,Quercus ellipsoidalis
35,Quema,Quercus macrocarpa
35,Schsc,Schizachyrium scoparium
35,Solri,Solidago rigida
35,Sornu,Sorghastrum nutans
36,Panvi,Panicum virgatum
36,Schsc,Schizachyrium scoparium
37,Broin,Bromus inermis
37,Trihy,Trifolium hybridum
38,Achmi,Achillea millefolium(lanulosa)
38,Agrsm,Agropyron smithii
38,Amoca,Amorpha canescens
38,Andge,Andropogon gerardi
38,Asctu,Asclepias tuberosa
38,Baple,Baptisia leucantha
38,Boucu,Bouteloua curtipendula
38,Bougr,Bouteloua gracilis
38,Bucda,Buchloe dactyloides
38,Calca,Calamagrostis canadensis
38,Corpa,Coreopsis palmata
38,Elyca,Elymus canadensis
38,Koecr,Koeleria cristata
38,Leeor,Leersia oryzoides
38,Lesca,Lespedeza capitata
38,Liaas,Liatris aspera
38,Luppe,Lupinus perennis
38,Monfi,Monarda fistulosa
38,Panvi,Panicum virgatum
38,Petca,Petalostemum candidum
38,Petpu,Petalostemum purpureum
38,Petvi,Petalostemum villosum
38,Poapr,Poa pratensis
38,Queel,Quercus ellipsoidalis
38,Quema,Quercus macrocarpa
38,Rudse,Rudbeckia serotina
38,Schsc,Schizachyrium scoparium
38,Solne,Solidago nemoralis
38,Solri,Solidago rigida
38,Sornu,Sorghastrum nutans
38,Spocr,Sporobolus cryptandrus
38,Stisp,Stipa spartea
38,Vicvi,Vicia villosa
38,Zizau,Zizia aurea
39,Achmi,Achillea millefolium(lanulosa)
39,Agrsm,Agropyron smithii
39,Amoca,Amorpha canescens
39,Andge,Andropogon gerardi
39,Asctu,Asclepias tuberosa
39,Baple,Baptisia leucantha
39,Boucu,Bouteloua curtipendula
39,Bougr,Bouteloua gracilis
39,Bucda,Buchloe dactyloides
39,Calca,Calamagrostis canadensis
39,Corpa,Coreopsis palmata
39,Elyca,Elymus canadensis
39,Koecr,Koeleria cristata
39,Leeor,Leersia oryzoides
39,Lesca,Lespedeza capitata
39,Liaas,Liatris aspera
39,Luppe,Lupinus perennis
39,Monfi,Monarda fistulosa
39,Panvi,Panicum virgatum
39,Petca,Petalostemum candidum
39,Petpu,Petalostemum purpureum
39,Petvi,Petalostemum villosum
39,Poapr,Poa pratensis
39,Queel,Quercus ellipsoidalis
39,Quema,Quercus macrocarpa
39,Rudse,Rudbeckia serotina
39,Schsc,Schizachyrium scoparium
39,Solne,Solidago nemoralis
39,Solri,Solidago rigida
39,Sornu,Sorghastrum nutans
39,Spocr,Sporobolus cryptandrus
39,Stisp,Stipa spartea
39,Vicvi,Vicia villosa
39,Zizau,Zizia aurea
40,Amoca,Amorpha canescens
40,Astca,Astragalus canadensis
40,Baple,Baptisia leucantha
40,Lesca,Lespedeza capitata
40,Luppe,Lupinus perennis
40,Petca,Petalostemum candidum
40,Petpu,Petalostemum purpureum
40,Petvi,Petalostemum villosum
40,Vicvi,Vicia villosa
41,Andge,Andropogon gerardi
41,Boucu,Bouteloua curtipendula
41,Bougr,Bouteloua gracilis
41,Bucda,Buchloe dactyloides
41,Panvi,Panicum virgatum
41,Schsc,Schizachyrium scoparium
41,Sornu,Sorghastrum nutans
41,Spocr,Sporobolus cryptandrus
42,Agrre,Agropyron repens
42,Agrsm,Agropyron smithii
42,Calca,Calamagrostis canadensis
42,Elyca,Elymus canadensis
42,Koecr,Koeleria cristata
42,Leeor,Leersia oryzoides
42,Poapr,Poa pratensis
42,Stisp,Stipa spartea
43,Andge,Andropogon gerardi
43,Koecr,Koeleria cristata
43,Panvi,Panicum virgatum
43,Poapr,Poa pratensis
44,Asctu,Asclepias tuberosa
44,Panvi,Panicum virgatum
44,Petca,Petalostemum candidum
44,Petpu,Petalostemum purpureum
44,Petvi,Petalostemum villosum
45,Andge,Andropogon gerardi
45,Liaas,Liatris aspera
45,Petpu,Petalostemum purpureum
45,Quema,Quercus macrocarpa
46,Achmi,Achillea millefolium(lanulosa)
46,Agrsm,Agropyron smithii
46,Amoca,Amorpha canescens
46,Andge,Andropogon gerardi
46,Asctu,Asclepias tuberosa
46,Elyca,Elymus canadensis
46,Koecr,Koeleria cristata
46,Liaas,Liatris aspera
46,Luppe,Lupinus perennis
46,Monfi,Monarda fistulosa
46,Panvi,Panicum virgatum
46,Petpu,Petalostemum purpureum
46,Poapr,Poa pratensis
46,Queel,Quercus ellipsoidalis
46,Quema,Quercus macrocarpa
46,Schsc,Schizachyrium scoparium
46,Solri,Solidago rigida
47,Achmi,Achillea millefolium(lanulosa)
47,Amoca,Amorpha canescens
48,Koecr,Koeleria cristata
48,Lesca,Lespedeza capitata
49,Achmi,Achillea millefolium(lanulosa)
49,Agrsm,Agropyron smithii
49,Amoca,Amorpha canescens
49,Andge,Andropogon gerardi
49,Asctu,Asclepias tuberosa
49,Astca,Astragalus canadensis
49,Baple,Baptisia leucantha
49,Boucu,Bouteloua curtipendula
49,Bougr,Bouteloua gracilis
49,Broin,Bromus inermis
49,Bucda,Buchloe dactyloides
49,Calca,Calamagrostis canadensis
49,Corpa,Coreopsis palmata
49,Elyca,Elymus canadensis
49,Koecr,Koeleria cristata
49,Leeor,Leersia oryzoides
49,Lesca,Lespedeza capitata
49,Liaas,Liatris aspera
49,Luppe,Lupinus perennis
49,Monfi,Monarda fistulosa
49,Panvi,Panicum virgatum
49,Petca,Petalostemum candidum
49,Petpu,Petalostemum purpureum
49,Petvi,Petalostemum villosum
49,Poapr,Poa pratensis
49,Rudse,Rudbeckia serotina
49,Schsc,Schizachyrium scoparium
49,Solne,Solidago nemoralis
49,Solri,Solidago rigida
49,Sornu,Sorghastrum nutans
49,Spocr,Sporobolus cryptandrus
49,Stisp,Stipa spartea
49,Vicvi,Vicia villosa
49,Zizau,Zizia aurea
50,Achmi,Achillea millefolium(lanulosa)
50,Elyca,Elymus canadensis
50,Koecr,Koeleria cristata
50,Lesca,Lespedeza capitata
50,Petca,Petalostemum candidum
50,Petpu,Petalostemum purpureum
50,Petvi,Petalostemum villosum
50,Poapr,Poa pratensis
50,Quema,Quercus macrocarpa
51,Achmi,Achillea millefolium(lanulosa)
51,Liaas,Liatris aspera
52,Achmi,Achillea millefolium(lanulosa)
52,Agrsm,Agropyron smithii
52,Amoca,Amorpha canescens
52,Andge,Andropogon gerardi
52,Asctu,Asclepias tuberosa
52,Baple,Baptisia leucantha
52,Boucu,Bouteloua curtipendula
52,Bougr,Bouteloua gracilis
52,Bucda,Buchloe dactyloides
52,Calca,Calamagrostis canadensis
52,Corpa,Coreopsis palmata
52,Elyca,Elymus canadensis
52,Koecr,Koeleria cristata
52,Leeor,Leersia oryzoides
52,Lesca,Lespedeza capitata
52,Liaas,Liatris aspera
52,Luppe,Lupinus perennis
53,Lesca,Lespedeza capitata
53,Monfi,Monarda fistulosa
53,Panvi,Panicum virgatum
53,Petca,Petalostemum candidum
53,Petpu,Petalostemum purpureum
53,Petvi,Petalostemum villosum
53,Poapr,Poa pratensis
53,Queel,Quercus ellipsoidalis
53,Quema,Quercus macrocarpa
53,Rudse,Rudbeckia serotina
53,Schsc,Schizachyrium scoparium
53,Solne,Solidago nemoralis
53,Solri,Solidago rigida
53,Sornu,Sorghastrum nutans
53,Spocr,Sporobolus cryptandrus
53,Stisp,Stipa spartea
53,Vicvi,Vicia villosa
53,Zizau,Zizia aurea
54,Achmi,Achillea millefolium(lanulosa)
54,Agrsm,Agropyron smithii
54,Amoca,Amorpha canescens
54,Andge,Andropogon gerardi
54,Asctu,Asclepias tuberosa
54,Astca,Astragalus canadensis
54,Baple,Baptisia leucantha
54,Boucu,Bouteloua curtipendula
54,Bougr,Bouteloua gracilis
54,Broin,Bromus inermis
54,Bucda,Buchloe dactyloides
54,Calca,Calamagrostis canadensis
54,Corpa,Coreopsis palmata
54,Elyca,Elymus canadensis
54,Koecr,Koeleria cristata
54,Leeor,Leersia oryzoides
54,Lesca,Lespedeza capitata
54,Liaas,Liatris aspera
54,Luppe,Lupinus perennis
54,Monfi,Monarda fistulosa
54,Panvi,Panicum virgatum
54,Petca,Petalostemum candidum
54,Petpu,Petalostemum purpureum
54,Petvi,Petalostemum villosum
54,Poapr,Poa pratensis
54,Rudse,Rudbeckia serotina
54,Schsc,Schizachyrium scoparium
54,Solne,Solidago nemoralis
54,Solri,Solidago rigida
54,Sornu,Sorghastrum nutans
54,Spocr,Sporobolus cryptandrus
54,Stisp,Stipa spartea
54,Vicvi,Vicia villosa
54,Zizau,Zizia aurea
55,Boucu,Bouteloua curtipendula
55,Bougr,Bouteloua gracilis
55,Bucda,Buchloe dactyloides
55,Panvi,Panicum virgatum
55,Queel,Quercus ellipsoidalis
55,Quema,Quercus macrocarpa
55,Sornu,Sorghastrum nutans
55,Spocr,Sporobolus cryptandrus
56,Luppe,Lupinus perennis
56,Schsc,Schizachyrium scoparium
57,Achmi,Achillea millefolium(lanulosa)
57,Agrsm,Agropyron smithii
57,Koecr,Koeleria cristata
57,Lesca,Lespedeza capitata
57,Monfi,Monarda fistulosa
57,Petca,Petalostemum candidum
57,Petvi,Petalostemum villosum
57,Poapr,Poa pratensis
57,Schsc,Schizachyrium scoparium
57,Solri,Solidago rigida
58,Andge,Andropogon gerardi
58,Monfi,Monarda fistulosa
58,Poapr,Poa pratensis
58,Solri,Solidago rigida
58,Sornu,Sorghastrum nutans
59,Asctu,Asclepias tuberosa
59,Lesca,Lespedeza capitata
60,Agrsm,Agropyron smithii
60,Luppe,Lupinus perennis
60,Poapr,Poa pratensis
60,Quema,Quercus macrocarpa
61,Agrre,Agropyron repens
61,Agrsm,Agropyron smithii
61,Calca,Calamagrostis canadensis
61,Elyca,Elymus canadensis
61,Koecr,Koeleria cristata
61,Leeor,Leersia oryzoides
61,Poapr,Poa pratensis
61,Stisp,Stipa spartea
62,Elyca,Elymus canadensis
62,Lesca,Lespedeza capitata
62,Petca,Petalostemum candidum
62,Petvi,Petalostemum villosum
62,Quema,Quercus macrocarpa
63,Achmi,Achillea millefolium(lanulosa)
63,Agrsm,Agropyron smithii
63,Amoca,Amorpha canescens
63,Andge,Andropogon gerardi
63,Asctu,Asclepias tuberosa
63,Baple,Baptisia leucantha
63,Boucu,Bouteloua curtipendula
63,Bougr,Bouteloua gracilis
63,Bucda,Buchloe dactyloides
63,Calca,Calamagrostis canadensis
63,Corpa,Coreopsis palmata
63,Elyca,Elymus canadensis
63,Koecr,Koeleria cristata
63,Leeor,Leersia oryzoides
63,Lesca,Lespedeza capitata
63,Liaas,Liatris aspera
63,Luppe,Lupinus perennis
63,Monfi,Monarda fistulosa
63,Panvi,Panicum virgatum
63,Petca,Petalostemum candidum
63,Petpu,Petalostemum purpureum
63,Petvi,Petalostemum villosum
63,Poapr,Poa pratensis
63,Queel,Quercus ellipsoidalis
63,Quema,Quercus macrocarpa
63,Rudse,Rudbeckia serotina
63,Schsc,Schizachyrium scoparium
63,Solne,Solidago nemoralis
63,Solri,Solidago rigida
63,Sornu,Sorghastrum nutans
63,Spocr,Sporobolus cryptandrus
63,Stisp,Stipa spartea
63,Vicvi,Vicia villosa
63,Zizau,Zizia aurea
64,Achmi,Achillea millefolium(lanulosa)
64,Agrsm,Agropyron smithii
64,Amoca,Amorpha canescens
64,Andge,Andropogon gerardi
64,Asctu,Asclepias tuberosa
64,Baple,Baptisia leucantha
64,Boucu,Bouteloua curtipendula
64,Bougr,Bouteloua gracilis
64,Bucda,Buchloe dactyloides
64,Calca,Calamagrostis canadensis
64,Corpa,Coreopsis palmata
64,Elyca,Elymus canadensis
64,Koecr,Koeleria cristata
64,Leeor,Leersia oryzoides
64,Lesca,Lespedeza capitata
64,Liaas,Liatris aspera
64,Luppe,Lupinus perennis
64,Monfi,Monarda fistulosa
64,Panvi,Panicum virgatum
64,Petca,Petalostemum candidum
64,Petpu,Petalostemum purpureum
64,Petvi,Petalostemum villosum
64,Poapr,Poa pratensis
64,Queel,Quercus ellipsoidalis
64,Quema,Quercus macrocarpa
64,Rudse,Rudbeckia serotina
64,Schsc,Schizachyrium scoparium
64,Solne,Solidago nemoralis
64,Solri,Solidago rigida
64,Sornu,Sorghastrum nutans
64,Spocr,Sporobolus cryptandrus
64,Stisp,Stipa spartea
64,Vicvi,Vicia villosa
64,Zizau,Zizia aurea
65,Schsc,Schizachyrium scoparium
65,Sornu,Sorghastrum nutans
66,Elyca,Elymus canadensis
66,Koecr,Koeleria cristata
66,Poapr,Poa pratensis
66,Stisp,Stipa spartea
67,Agrsm,Agropyron smithii
67,Koecr,Koeleria cristata
67,Luppe,Lupinus perennis
67,Monfi,Monarda fistulosa
67,Petca,Petalostemum candidum
67,Petvi,Petalostemum villosum
67,Queel,Quercus ellipsoidalis
67,Quema,Quercus macrocarpa
67,Solri,Solidago rigida
67,Sornu,Sorghastrum nutans
68,Achmi,Achillea millefolium(lanulosa)
68,Agrsm,Agropyron smithii
68,Asctu,Asclepias tuberosa
68,Elyca,Elymus canadensis
68,Koecr,Koeleria cristata
68,Lesca,Lespedeza capitata
68,Liaas,Liatris aspera
68,Luppe,Lupinus perennis
68,Monfi,Monarda fistulosa
68,Panvi,Panicum virgatum
68,Petpu,Petalostemum purpureum
68,Poapr,Poa pratensis
68,Queel,Quercus ellipsoidalis
68,Quema,Quercus macrocarpa
68,Schsc,Schizachyrium scoparium
68,Solri,Solidago rigida
68,Sornu,Sorghastrum nutans
69,Achmi,Achillea millefolium(lanulosa)
70,Andge,Andropogon gerardi
70,Asctu,Asclepias tuberosa
70,Luppe,Lupinus perennis
70,Schsc,Schizachyrium scoparium
71,Lesca,Lespedeza capitata
71,Petpu,Petalostemum purpureum
72,Achmi,Achillea millefolium(lanulosa)
72,Andge,Andropogon gerardi
72,Asctu,Asclepias tuberosa
72,Monfi,Monarda fistulosa
72,Panvi,Panicum virgatum
72,Schsc,Schizachyrium scoparium
72,Solri,Solidago rigida
72,Sornu,Sorghastrum nutans
72,Spocr,Sporobolus cryptandrus
73,Monfi,Monarda fistulosa
73,Queel,Quercus ellipsoidalis
73,Solri,Solidago rigida
74,Achmi,Achillea millefolium(lanulosa)
74,Agrsm,Agropyron smithii
74,Asctu,Asclepias tuberosa
74,Elyca,Elymus canadensis
74,Koecr,Koeleria cristata
74,Petca,Petalostemum candidum
74,Petvi,Petalostemum villosum
74,Quema,Quercus macrocarpa
74,Sornu,Sorghastrum nutans
75,Asctu,Asclepias tuberosa
75,Panvi,Panicum virgatum
76,Andge,Andropogon gerardi
76,Panvi,Panicum virgatum
76,Quema,Quercus macrocarpa
76,Schsc,Schizachyrium scoparium
77,Achmi,Achillea millefolium(lanulosa)
77,Asctu,Asclepias tuberosa
77,Corpa,Coreopsis palmata
77,Liaas,Liatris aspera
77,Monfi,Monarda fistulosa
77,Rudse,Rudbeckia serotina
77,Solne,Solidago nemoralis
77,Zizau,Zizia aurea
78,Achmi,Achillea millefolium(lanulosa)
78,Agrsm,Agropyron smithii
78,Amoca,Amorpha canescens
78,Andge,Andropogon gerardi
78,Asctu,Asclepias tuberosa
78,Baple,Baptisia leucantha
78,Boucu,Bouteloua curtipendula
78,Bougr,Bouteloua gracilis
78,Bucda,Buchloe dactyloides
78,Calca,Calamagrostis canadensis
78,Corpa,Coreopsis palmata
78,Elyca,Elymus canadensis
78,Koecr,Koeleria cristata
78,Leeor,Leersia oryzoides
78,Lesca,Lespedeza capitata
78,Liaas,Liatris aspera
78,Luppe,Lupinus perennis
78,Monfi,Monarda fistulosa
78,Panvi,Panicum virgatum
78,Petca,Petalostemum candidum
78,Petpu,Petalostemum purpureum
78,Petvi,Petalostemum villosum
78,Poapr,Poa pratensis
78,Queel,Quercus ellipsoidalis
78,Quema,Quercus macrocarpa
78,Rudse,Rudbeckia serotina
78,Schsc,Schizachyrium scoparium
78,Solne,Solidago nemoralis
78,Solri,Solidago rigida
78,Sornu,Sorghastrum nutans
78,Spocr,Sporobolus cryptandrus
78,Stisp,Stipa spartea
78,Vicvi,Vicia villosa
78,Zizau,Zizia aurea
79,Achmi,Achillea millefolium(lanulosa)
79,Agrsm,Agropyron smithii
79,Amoca,Amorpha canescens
79,Andge,Andropogon gerardi
79,Asctu,Asclepias tuberosa
79,Baple,Baptisia leucantha
79,Boucu,Bouteloua curtipendula
79,Bougr,Bouteloua gracilis
79,Bucda,Buchloe dactyloides
79,Calca,Calamagrostis canadensis
79,Corpa,Coreopsis palmata
79,Elyca,Elymus canadensis
79,Koecr,Koeleria cristata
79,Leeor,Leersia oryzoides
79,Lesca,Lespedeza capitata
79,Liaas,Liatris aspera
79,Luppe,Lupinus perennis
79,Monfi,Monarda fistulosa
79,Panvi,Panicum virgatum
79,Petca,Petalostemum candidum
79,Petpu,Petalostemum purpureum
79,Petvi,Petalostemum villosum
79,Poapr,Poa pratensis
79,Queel,Quercus ellipsoidalis
79,Quema,Quercus macrocarpa
79,Rudse,Rudbeckia serotina
79,Schsc,Schizachyrium scoparium
79,Solne,Solidago nemoralis
79,Solri,Solidago rigida
79,Sornu,Sorghastrum nutans
79,Spocr,Sporobolus cryptandrus
79,Stisp,Stipa spartea
79,Vicvi,Vicia villosa
79,Zizau,Zizia aurea
80,Andge,Andropogon gerardi
80,Luppe,Lupinus perennis
80,Petpu,Petalostemum purpureum
80,Sornu,Sorghastrum nutans
81,Achmi,Achillea millefolium(lanulosa)
81,Agrsm,Agropyron smithii
81,Elyca,Elymus canadensis
81,Lesca,Lespedeza capitata
81,Liaas,Liatris aspera
81,Petpu,Petalostemum purpureum
81,Poapr,Poa pratensis
81,Schsc,Schizachyrium scoparium
82,Achmi,Achillea millefolium(lanulosa)
