school,temp,cooling,iterations,avg_score,max_score,avg_ai_credits
CCAD,200,0.95,3000,623.1203451825056,623.1203451825056,31.0
CCAD,500,0.98,3000,623.1203451825056,623.1203451825056,31.0
CCAD,100,0.99,5000,623.0868940723474,623.1203451825056,31.0
CCAD,200,0.99,5000,622.8436618788382,623.1203451825056,31.0
CCAD,500,0.99,5000,622.2376765591342,623.1203451825056,31.0
CCAD,500,0.99,3000,622.0058167612394,623.1203451825056,31.333333333333332
CCAD,200,0.99,3000,621.3630834655008,623.1203451825056,31.333333333333332
CCAD,200,0.95,5000,620.4813804962085,623.1203451825056,31.666666666666668
CCAD,100,0.98,5000,620.3194428732801,623.1203451825056,23.333333333333332
CCAD,100,0.99,3000,620.3145186373539,623.1203451825056,23.333333333333332
CCAD,100,0.98,3000,619.5502205374675,623.1203451825056,23.666666666666668
CCAD,500,0.95,5000,619.2130561064986,623.1203451825056,23.666666666666668
CCAD,500,0.98,5000,618.2729143575092,622.306920163417,24.333333333333332
CCAD,200,0.98,3000,618.0869407364347,621.6744989860672,24.333333333333332
CCAD,100,0.95,5000,617.5185405640544,623.1203451825056,15.666666666666666
CCAD,200,0.98,5000,617.5185405640544,623.1203451825056,15.666666666666666
CCAD,100,0.95,3000,614.7176382548288,614.7176382548288,8.0
CCAD,500,0.95,3000,614.7176382548288,614.7176382548288,8.0
CIA,100,0.95,3000,643.1880766999262,643.1880766999262,3.0
CIA,100,0.95,5000,643.1880766999262,643.1880766999262,3.0
CIA,100,0.98,5000,643.1880766999262,643.1880766999262,3.0
CIA,100,0.99,3000,643.1880766999262,643.1880766999262,3.0
CIA,100,0.99,5000,643.1880766999262,643.1880766999262,3.0
CIA,200,0.95,3000,643.1880766999262,643.1880766999262,3.0
CIA,200,0.95,5000,643.1880766999262,643.1880766999262,3.0
CIA,200,0.98,5000,643.1880766999262,643.1880766999262,3.0
CIA,200,0.99,3000,643.1880766999262,643.1880766999262,3.0
CIA,200,0.99,5000,643.1880766999262,643.1880766999262,3.0
CIA,500,0.95,5000,643.1880766999262,643.1880766999262,3.0
CIA,500,0.98,5000,643.1880766999262,643.1880766999262,3.0
CIA,500,0.99,3000,643.1880766999262,643.1880766999262,3.0
CIA,500,0.99,5000,643.1880766999262,643.1880766999262,3.0
CIA,500,0.98,3000,643.0849729841731,643.1880766999262,3.3333333333333335
CIA,100,0.98,3000,640.3351706073132,643.1880766999262,5.0
CIA,200,0.98,3000,639.1008424658004,643.1880766999262,12.333333333333334
CIA,500,0.95,3000,638.9386966391074,643.1880766999262,4.666666666666667
CMU,100,0.95,3000,623.4658457418177,623.4658457418177,31.0
CMU,100,0.95,5000,623.4658457418177,623.4658457418177,31.0
CMU,100,0.98,3000,623.4658457418177,623.4658457418177,31.0
CMU,100,0.98,5000,623.4658457418177,623.4658457418177,31.0
CMU,100,0.99,3000,623.4658457418177,623.4658457418177,31.0
CMU,100,0.99,5000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.95,3000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.95,5000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.98,3000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.98,5000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.99,3000,623.4658457418177,623.4658457418177,31.0
CMU,200,0.99,5000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.95,3000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.95,5000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.98,3000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.98,5000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.99,3000,623.4658457418177,623.4658457418177,31.0
CMU,500,0.99,5000,623.4658457418177,623.4658457418177,31.0
